id,treatment,sex,prl,cort,p4,e2t
y.w.blk,m.inc.d9,male,3.48,0.909620675,1.9766508,2.764239827
y63.x,m.inc.d9,male,6.67,0.889660463,0.384668734,0.310071378
blk.s032.g.w,m.n2,female,90.75,1.249122491,0.407671452,0.036333886
blk0.x,m.n2,female,15.26,4.619618528,0.310578118,0.172746292
g.s076.pk.r,m.n2,female,11.47,2.200299298,0.208974378,0.165698199
l.s.w.d,m.n2,female,23.31,1.017495171,0.174926369,0.033387098
s333.y.blk.pk,m.n2,female,47.69,1.072553107,0.346845147,0.10963234
x.blu96,m.n2,female,9.31,0.947499773,0.382505727,0.088333344
x.o171.w45,m.n2,female,45.2,0.917225552,1.576964257,0.236276454
x.r74.o29,m.n2,female,21.04,1.768722643,0.096435565,0.165734459
y98.g54,m.n2,female,14.79,1.132334438,0.164142056,0.195454672
blu10.w26.x,m.n2,male,18.35,2.366374957,0.176352344,5.747120767
g.s075.pk.pu,m.n2,male,4.88,5.245736813,1.087480569,5.331283852
g34.x,m.n2,male,4.75,1.103396393,1.733111112,6.816797097
o3.x,m.n2,male,4.26,1.365548357,1.402579211,0.871811519
pu.s.o.r,m.n2,male,17.71,0.894494304,1.282975383,7.068793131
s062.d.blk.g,m.n2,male,10.81,4.292515291,0.401399503,3.741041858
s090.blk.pk.w,m.n2,male,61.94,0.601353511,1.282975383,0.750629843
x.blk23,m.n2,male,36.24,2.9576742,2.415320764,6.407067626
x.blu76,m.n2,male,11.67,0.887935186,1.764584176,5.222085373
x.o4,m.n2,male,28.88,2.764680492,1.282975383,1.286830526
x.blu43.g132,m.inc.d9,female,31.37,0.511131213,1.601603796,0.258202584
r37.w100.x,m.inc.d9,male,12.79,0.853196466,1.476761504,6.729852941
blk.s031.pu.d,prolong,female,43.81,0.942507258,0.296382103,0.055450954
blu115.y150.x,prolong,female,58.54,1.032535651,0.111697186,0.122583764
l.s052.pk.r,prolong,female,72.59,1.267707993,0.467346698,0.07546615
l.s166.o.w,prolong,female,68.54,7.328963029,2.049999851,0.060627418
r194.x,prolong,female,86.44,1.046094949,0.144376398,0.035825652
